Bolge,Ulke_Sehir,Cinsiyet,Kanser_Turu,Yas_Grubu,Yillik_Vaka_Hizi_100Bin,Yillik_Olum_Hizi_100Bin,Bes_Yillik_Sagkalim_Yuzdesi
Turkiye,Adana,Erkek,Akciger,30-49,11.6,6.2,20.7
Turkiye,Adana,Erkek,Akciger,50-69,69.6,51.0,14.6
Turkiye,Adana,Erkek,Akciger,70+,97.8,96.6,5.0
Turkiye,Adana,Erkek,Prostat,30-49,27.2,4.4,90.7
Turkiye,Adana,Erkek,Prostat,50-69,32.6,5.1,83.9
Turkiye,Adana,Erkek,Prostat,70+,193.9,61.1,75.6
Turkiye,Adana,Erkek,Kolorektal,30-49,11.4,3.4,66.1
Turkiye,Adana,Erkek,Kolorektal,50-69,25.5,11.1,56.4
Turkiye,Adana,Erkek,Kolorektal,70+,91.1,56.5,44.9
Turkiye,Adana,Erkek,Tiroid,30-49,11.1,0.6,97.7
Turkiye,Adana,Erkek,Tiroid,50-69,10.3,0.7,98.2
Turkiye,Adana,Erkek,Tiroid,70+,13.8,1.1,84.0
Turkiye,Adana,Erkek,Mide,30-49,3.5,1.5,25.1
Turkiye,Adana,Erkek,Mide,50-69,19.3,15.9,23.3
Turkiye,Adana,Erkek,Mide,70+,26.4,25.6,8.3
Turkiye,Adana,Erkek,Mesane,30-49,5.3,1.0,77.4
Turkiye,Adana,Erkek,Mesane,50-69,31.9,7.7,71.6
Turkiye,Adana,Erkek,Mesane,70+,42.1,14.9,60.1
Turkiye,Adana,Erkek,Diger,30-49,2.9,0.6,68.0
Turkiye,Adana,Erkek,Diger,50-69,14.6,5.1,66.8
Turkiye,Adana,Erkek,Diger,70+,20.2,8.6,51.0
Turkiye,Adana,Kadin,Akciger,30-49,2.3,1.3,21.9
Turkiye,Adana,Kadin,Akciger,50-69,13.9,11.3,15.7
Turkiye,Adana,Kadin,Akciger,70+,18.6,14.9,5.8
Turkiye,Adana,Kadin,Meme,30-49,47.9,8.4,81.3
Turkiye,Adana,Kadin,Meme,50-69,122.6,24.2,85.5
Turkiye,Adana,Kadin,Meme,70+,162.2,35.3,73.6
Turkiye,Adana,Kadin,Kolorektal,30-49,12.6,4.3,62.6
Turkiye,Adana,Kadin,Kolorektal,50-69,24.3,10.6,60.6
Turkiye,Adana,Kadin,Kolorektal,70+,97.7,53.6,47.9
Turkiye,Adana,Kadin,Tiroid,30-49,46.0,0.6,96.9
Turkiye,Adana,Kadin,Tiroid,50-69,44.4,0.6,95.6
Turkiye,Adana,Kadin,Tiroid,70+,65.4,1.1,86.2
Turkiye,Adana,Kadin,Mide,30-49,2.0,1.0,26.7
Turkiye,Adana,Kadin,Mide,50-69,11.2,8.4,22.7
Turkiye,Adana,Kadin,Mide,70+,16.6,13.3,11.3
Turkiye,Adana,Kadin,Mesane,30-49,1.1,0.3,72.0
Turkiye,Adana,Kadin,Mesane,50-69,6.0,2.2,75.4
Turkiye,Adana,Kadin,Mesane,70+,8.3,3.9,58.9
Turkiye,Adana,Kadin,Diger,30-49,2.4,0.7,70.9
Turkiye,Adana,Kadin,Diger,50-69,15.9,4.6,67.5
Turkiye,Adana,Kadin,Diger,70+,18.6,9.2,56.9
Turkiye,Adiyaman,Erkek,Akciger,30-49,10.3,6.0,19.7
Turkiye,Adiyaman,Erkek,Akciger,50-69,59.5,45.5,15.1
Turkiye,Adiyaman,Erkek,Akciger,70+,79.4,63.5,5.0
Turkiye,Adiyaman,Erkek,Prostat,30-49,29.3,4.3,90.9
Turkiye,Adiyaman,Erkek,Prostat,50-69,34.1,5.4,87.4
Turkiye,Adiyaman,Erkek,Prostat,70+,224.2,57.9,75.3
Turkiye,Adiyaman,Erkek,Kolorektal,30-49,12.5,4.1,61.3
Turkiye,Adiyaman,Erkek,Kolorektal,50-69,23.3,11.5,59.5
Turkiye,Adiyaman,Erkek,Kolorektal,70+,97.1,57.6,45.8
Turkiye,Adiyaman,Erkek,Tiroid,30-49,9.2,0.6,96.9
Turkiye,Adiyaman,Erkek,Tiroid,50-69,10.3,0.6,96.1
Turkiye,Adiyaman,Erkek,Tiroid,70+,13.3,1.0,87.6
Turkiye,Adiyaman,Erkek,Mide,30-49,3.7,1.7,29.2
Turkiye,Adiyaman,Erkek,Mide,50-69,19.6,16.0,26.4
Turkiye,Adiyaman,Erkek,Mide,70+,26.1,24.7,9.4
Turkiye,Adiyaman,Erkek,Mesane,30-49,5.2,1.1,76.1
Turkiye,Adiyaman,Erkek,Mesane,50-69,31.7,9.6,71.0
Turkiye,Adiyaman,Erkek,Mesane,70+,48.4,15.4,63.9
